Country,Time,Value
Australia,2000,46246.8687311857
Australia,2001,48315.9823911002
Australia,2002,50052.7581021241
Australia,2003,51798.5866440082
Australia,2004,54199.4027107654
Australia,2005,56019.0
Australia,2006,58403.0
Australia,2007,61884.0
Australia,2008,64344.0
Australia,2009,65362.0
Australia,2010,69110.0
Australia,2011,72979.0
Australia,2012,75149.0
Australia,2013,76598.0
Australia,2014,78667.0
Australia,2015,79207.0
Australia,2016,80058.0
Australia,2017,80683.0
Australia,2018,82277.0
Australia,2019,84752.0
Australia,2020,88031.0
Australia,2021,89954.8099759706
Australia,2022,92690.203390536
Austria,2000,27932.1336265057
Austria,2001,28498.9057915159
Austria,2002,29233.9134340208
Austria,2003,29752.7344956555
Austria,2004,30832.2355611196
Austria,2005,31756.0
Austria,2006,32905.0
Austria,2007,33916.0
Austria,2008,35212.0
Austria,2009,35928.0
Austria,2010,36381.0
Austria,2011,37126.0
Austria,2012,38213.0
Austria,2013,39050.0
Austria,2014,39986.0
Austria,2015,40841.0
Austria,2016,41842.0
Austria,2017,42566.0
Austria,2018,43582.0
Austria,2019,44707.0
Austria,2020,45409.0
Austria,2021,47009.1290667702
Austria,2022,49199.1124324615
Belgium,2000,31015.7220412343
Belgium,2001,31832.9668339589
Belgium,2002,32995.242721992
Belgium,2003,33687.8092076228
Belgium,2004,34349.0454703934
Belgium,2005,34995.0
Belgium,2006,36204.0
Belgium,2007,37106.0
Belgium,2008,38448.0
Belgium,2009,38664.0
Belgium,2010,39208.0
Belgium,2011,40740.0
Belgium,2012,41897.0
Belgium,2013,42763.0
Belgium,2014,43323.0
Belgium,2015,43398.0
Belgium,2016,44153.0
Belgium,2017,44684.0
Belgium,2018,45847.0
Belgium,2019,46946.0
Belgium,2020,45894.0
Belgium,2021,48395.2519132494
Belgium,2022,52035.0680129385
Canada,2000,43474.8931344361
Canada,2001,44199.038688698
Canada,2002,44699.599136113
Canada,2003,45470.7069000892
Canada,2004,47157.5337034671
Canada,2005,49312.0
Canada,2006,51447.0
Canada,2007,53632.0
Canada,2008,55383.0
Canada,2009,55833.0
Canada,2010,56680.0
Canada,2011,58573.0
Canada,2012,60032.0
Canada,2013,61477.0
Canada,2014,63485.0
Canada,2015,64611.0
Canada,2016,63913.0
Canada,2017,65499.0
Canada,2018,67709.0
Canada,2019,69204.0
Canada,2020,73181.0
Canada,2021,75812.2282325702
Canada,2022,79362.1897035278
Czech Republic,2000,173858.189267599
Czech Republic,2001,189208.928961025
Czech Republic,2002,203271.197541506
Czech Republic,2003,219031.497532813
Czech Republic,2004,236759.024654438
Czech Republic,2005,246457.0
Czech Republic,2006,260860.0
Czech Republic,2007,276549.0
Czech Republic,2008,290845.0
Czech Republic,2009,292235.0
Czech Republic,2010,302630.0
Czech Republic,2011,310326.0
Czech Republic,2012,317578.0
Czech Republic,2013,317804.0
Czech Republic,2014,327251.0
Czech Republic,2015,336882.0
Czech Republic,2016,350193.0
Czech Republic,2017,376657.0
Czech Republic,2018,406614.0
Czech Republic,2019,435463.0
Czech Republic,2020,441649.0
Czech Republic,2021,463471.18428897
Czech Republic,2022,496137.156392042
Denmark,2000,267667.703995458
Denmark,2001,275588.525565928
Denmark,2002,287080.997415255
Denmark,2003,297692.33858637
Denmark,2004,307920.147467079
Denmark,2005,318542.0
Denmark,2006,331041.0
Denmark,2007,340566.0
Denmark,2008,355043.0
Denmark,2009,368250.0
Denmark,2010,381589.0
Denmark,2011,388492.0
Denmark,2012,397056.0
Denmark,2013,403070.0
Denmark,2014,413241.0
Denmark,2015,422157.0
Denmark,2016,423103.0
Denmark,2017,430046.0
Denmark,2018,435962.0
Denmark,2019,442956.0
Denmark,2020,451336.0
Denmark,2021,462683.583331694
Denmark,2022,478960.446853077
Finland,2000,26597.2142706544
Finland,2001,27458.6629584355
Finland,2002,28058.4744264674
Finland,2003,28876.4240480964
Finland,2004,29903.5656230406
Finland,2005,30869.0
Finland,2006,31945.0
Finland,2007,32996.0
Finland,2008,34412.0
