year,prefecture,min_wage
2023,Hokkai Do,960
2022,Hokkai Do,920
2021,Hokkai Do,889
2020,Hokkai Do,861
2019,Hokkai Do,861
2018,Hokkai Do,835
2017,Hokkai Do,810
2016,Hokkai Do,786
2015,Hokkai Do,764
2014,Hokkai Do,748
2013,Hokkai Do,734
2012,Hokkai Do,719
2011,Hokkai Do,705
2010,Hokkai Do,691
2009,Hokkai Do,678
2008,Hokkai Do,667
2007,Hokkai Do,654
2006,Hokkai Do,644
2005,Hokkai Do,641
2004,Hokkai Do,638
2003,Hokkai Do,637
2002,Hokkai Do,637
2023,Aomori Ken,898
2022,Aomori Ken,853
2021,Aomori Ken,822
2020,Aomori Ken,793
2019,Aomori Ken,790
2018,Aomori Ken,762
2017,Aomori Ken,738
2016,Aomori Ken,716
2015,Aomori Ken,695
2014,Aomori Ken,679
2013,Aomori Ken,665
2012,Aomori Ken,654
2011,Aomori Ken,647
2010,Aomori Ken,645
2009,Aomori Ken,633
2008,Aomori Ken,630
2007,Aomori Ken,619
2006,Aomori Ken,610
2005,Aomori Ken,608
2004,Aomori Ken,606
2003,Aomori Ken,605
2002,Aomori Ken,605
2023,Iwate Ken,893
2022,Iwate Ken,854
2021,Iwate Ken,821
2020,Iwate Ken,793
2019,Iwate Ken,790
2018,Iwate Ken,762
2017,Iwate Ken,738
2016,Iwate Ken,716
2015,Iwate Ken,695
2014,Iwate Ken,678
2013,Iwate Ken,665
2012,Iwate Ken,653
2011,Iwate Ken,645
2010,Iwate Ken,644
2009,Iwate Ken,631
2008,Iwate Ken,628
2007,Iwate Ken,619
2006,Iwate Ken,610
2005,Iwate Ken,608
2004,Iwate Ken,606
2003,Iwate Ken,605
2002,Iwate Ken,605
2023,Miyagi Ken,923
2022,Miyagi Ken,883
2021,Miyagi Ken,853
2020,Miyagi Ken,825
2019,Miyagi Ken,824
2018,Miyagi Ken,798
2017,Miyagi Ken,772
2016,Miyagi Ken,748
2015,Miyagi Ken,726
2014,Miyagi Ken,710
2013,Miyagi Ken,696
2012,Miyagi Ken,685
2011,Miyagi Ken,675
2010,Miyagi Ken,674
2009,Miyagi Ken,662
2008,Miyagi Ken,653
2007,Miyagi Ken,639
2006,Miyagi Ken,628
2005,Miyagi Ken,623
2004,Miyagi Ken,619
2003,Miyagi Ken,617
2002,Miyagi Ken,617
2023,Akita Ken,897
2022,Akita Ken,853
2021,Akita Ken,822
2020,Akita Ken,792
2019,Akita Ken,790
2018,Akita Ken,762
2017,Akita Ken,738
2016,Akita Ken,716
2015,Akita Ken,695
2014,Akita Ken,679
2013,Akita Ken,665
2012,Akita Ken,654
2011,Akita Ken,647
2010,Akita Ken,645
2009,Akita Ken,632
2008,Akita Ken,629
2007,Akita Ken,618
2006,Akita Ken,610
2005,Akita Ken,608
2004,Akita Ken,606
2003,Akita Ken,605
2002,Akita Ken,605
2023,Yamagata Ken,900
2022,Yamagata Ken,854
2021,Yamagata Ken,822
2020,Yamagata Ken,793
2019,Yamagata Ken,790
2018,Yamagata Ken,763
2017,Yamagata Ken,739
2016,Yamagata Ken,717
2015,Yamagata Ken,696
2014,Yamagata Ken,680
2013,Yamagata Ken,665
2012,Yamagata Ken,654
2011,Yamagata Ken,647
2010,Yamagata Ken,645
2009,Yamagata Ken,631
2008,Yamagata Ken,629
2007,Yamagata Ken,620
2006,Yamagata Ken,613
2005,Yamagata Ken,610
2004,Yamagata Ken,607
2003,Yamagata Ken,606
2002,Yamagata Ken,605
2023,Fukushima Ken,900
2022,Fukushima Ken,858
2021,Fukushima Ken,828
2020,Fukushima Ken,800
2019,Fukushima Ken,798
2018,Fukushima Ken,772
2017,Fukushima Ken,748
2016,Fukushima Ken,726
2015,Fukushima Ken,705
2014,Fukushima Ken,689
2013,Fukushima Ken,675
2012,Fukushima Ken,664
2011,Fukushima Ken,658
2010,Fukushima Ken,657
2009,Fukushima Ken,644
2008,Fukushima Ken,641
2007,Fukushima Ken,629
2006,Fukushima Ken,618
2005,Fukushima Ken,614
2004,Fukushima Ken,611
2003,Fukushima Ken,610
2002,Fukushima Ken,610
2023,Ibaraki Ken,953
2022,Ibaraki Ken,911
2021,Ibaraki Ken,879
2020,Ibaraki Ken,851
2019,Ibaraki Ken,849
2018,Ibaraki Ken,822
2017,Ibaraki Ken,796
