"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2020_100","2020=100",97.88333,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2020_100","2020=100",97.50833,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2020_100","2020=100",97.125,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2020_100","2020=100",96.09167,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2020_100","2020=100",97.89167,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2020_100","2020=100",99.975,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2020_100","2020=100",101.725,,
"JPN","Japan","CP180500","CPI (COICOP 18): 05 - Furnishings, household equipment and routine household maintenance","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2020_100","2020=100",105.5583,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2020_100","2020=100",106.475,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2020_100","2020=100",105.8917,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2020_100","2020=100",102.7917,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2020_100","2020=100",101.35,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2020_100","2020=100",99.45,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2020_100","2020=100",100.0083,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2020_100","2020=100",85.39167,,
"JPN","Japan","CP180800","CPI (COICOP 18): 08 - Information and communication","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2020_100","2020=100",79.09167,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.3095,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",100.3262,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",100.5938,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",100.8782,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",100.3764,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",99.09669,,
"JPN","Japan","CP18GRSE","CPI (COICOP 18): Services","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",98.56976,,
"JPN","Japan","CP181100","CPI (COICOP 18): 11 - Restaurants and accommodation services","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2020_100","2020=100",97.25,,
"JPN","Japan","CP181100","CPI (COICOP 18): 11 - Restaurants and accommodation services","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2020_100","2020=100",98.29166,,
"JPN","Japan","CP181100","CPI (COICOP 18): 11 - Restaurants and accommodation services","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2020_100","2020=100",98.75833,,
"JPN","Japan","CP181100","CPI (COICOP 18): 11 - Restaurants and accommodation services","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2020_100","2020=100",99.79166,,
"JPN","Japan","CP181100","CPI (COICOP 18): 11 - Restaurants and accommodation services","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2020_100","2020=100",101.3833,,
