"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,3.989153,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,4.469661,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.966013,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.795746,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.388219,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.621487,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,7.23108,,
"MEX","Mexico","CP010000","CPI: 01 - Food and non-Alcoholic beverages","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,13.26198,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",109.8833,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",116.4829,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",120.2928,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",124.4366,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",129.3746,,
"RUS","Russia","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",135.9622,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.8473,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",106.4029,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.7682,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",113.1062,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",116.0336,,
