Subject,Country,Year,CPI
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2016,102.8473
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2017,106.4029
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2018,109.7682
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2019,113.1062
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2020,116.0336
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2021,119.5384
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2022,127.7814
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2015,100.0008
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2016,100.4608
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2017,102.1042
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2018,109.905
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2019,117.2242
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2020,126.0692
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2021,130.2708
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2022,131.9867
CPI: 03 - Clothing and footwear,Italy,2015,99.98429
CPI: 03 - Clothing and footwear,Italy,2016,100.4583
CPI: 03 - Clothing and footwear,Italy,2017,100.8083
CPI: 03 - Clothing and footwear,Italy,2018,101.0083
CPI: 03 - Clothing and footwear,Italy,2019,101.275
CPI: 03 - Clothing and footwear,Italy,2020,102.025
CPI: 03 - Clothing and footwear,Italy,2021,102.4583
CPI: 03 - Clothing and footwear,Italy,2022,104.3833
CPI: 01-12 - All items,United Kingdom,2015,100.0
CPI: 01-12 - All items,United Kingdom,2016,101.0
CPI: 01-12 - All items,United Kingdom,2017,103.6
CPI: 01-12 - All items,United Kingdom,2018,106.0
CPI: 01-12 - All items,United Kingdom,2019,107.8
CPI: 01-12 - All items,United Kingdom,2020,108.9
CPI: 01-12 - All items,United Kingdom,2021,111.6
CPI: 01-12 - All items,United Kingdom,2022,120.5
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2015,99.97807
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2016,98.34167
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2017,100.0833
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2018,102.6333
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2019,103.8833
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2020,100.45
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2021,107.45
"CPI: 04 - Housing, water, electricity, gas and other fuels",Italy,2022,145.0667
CPI: 03 - Clothing and footwear,France,2015,99.99917
CPI: 03 - Clothing and footwear,France,2016,100.1908
CPI: 03 - Clothing and footwear,France,2017,100.2483
CPI: 03 - Clothing and footwear,France,2018,100.4083
CPI: 03 - Clothing and footwear,France,2019,100.1625
CPI: 03 - Clothing and footwear,France,2020,99.7125
CPI: 03 - Clothing and footwear,France,2021,99.86584
CPI: 03 - Clothing and footwear,France,2022,102.5633
CPI: 01 - Food and non-Alcoholic beverages,France,2015,100.0
CPI: 01 - Food and non-Alcoholic beverages,France,2016,100.5542
