Subject,Country,Year,CPI
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2016,109.8833
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2017,116.4829
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2018,120.2928
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2019,124.4366
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2020,129.3746
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Russia,2021,135.9622
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2016,102.8473
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2017,106.4029
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2018,109.7682
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2019,113.1062
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2020,116.0336
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2021,119.5384
"CPI: 04 - Housing, water, electricity, gas and other fuels",United States,2022,127.7814
CPI: 03 - Clothing and footwear,Slovak Republic,2015,100.0
CPI: 03 - Clothing and footwear,Slovak Republic,2016,100.2947
CPI: 03 - Clothing and footwear,Slovak Republic,2017,100.4053
CPI: 03 - Clothing and footwear,Slovak Republic,2018,101.9306
CPI: 03 - Clothing and footwear,Slovak Republic,2019,102.9843
CPI: 03 - Clothing and footwear,Slovak Republic,2020,103.5296
CPI: 03 - Clothing and footwear,Slovak Republic,2021,104.6054
CPI: 03 - Clothing and footwear,Slovak Republic,2022,108.4813
CPI: 01-12 - All items,China,2015,100.0
CPI: 01-12 - All items,China,2016,102.0
CPI: 01-12 - All items,China,2017,103.625
CPI: 01-12 - All items,China,2018,105.775
CPI: 01-12 - All items,China,2019,108.8417
CPI: 01-12 - All items,China,2020,111.475
CPI: 01-12 - All items,China,2021,112.5686
CPI: 01-12 - All items,China,2022,114.7902
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2015,100.0008
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2016,100.4608
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2017,102.1042
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2018,109.905
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2019,117.2242
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2020,126.0692
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2021,130.2708
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",France,2022,131.9867
CPI: 01-12 - All items,Netherlands,2015,100.0
CPI: 01-12 - All items,Netherlands,2016,100.3167
CPI: 01-12 - All items,Netherlands,2017,101.7025
