"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.0893,,
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",102.7942,,
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.4742,,
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",104.6661,,
"JPN","Japan","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",105.9654,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units","2015_100","2015=100",100.7005,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units","2015_100","2015=100",100.6526,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units","2015_100","2015=100",100.8396,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units","2015_100","2015=100",100.7793,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-05","May-2015","IDX","Index","0","Units","2015_100","2015=100",100.806,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units","2015_100","2015=100",100.4587,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units","2015_100","2015=100",99.9512,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units","2015_100","2015=100",99.55052,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units","2015_100","2015=100",99.14984,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units","2015_100","2015=100",99.1128,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units","2015_100","2015=100",99.06468,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units","2015_100","2015=100",99.01126,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units","2015_100","2015=100",98.74944,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units","2015_100","2015=100",98.56246,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units","2015_100","2015=100",98.4503,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units","2015_100","2015=100",98.23775,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-05","May-2016","IDX","Index","0","Units","2015_100","2015=100",98.21635,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units","2015_100","2015=100",97.97594,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units","2015_100","2015=100",97.78896,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units","2015_100","2015=100",97.50043,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units","2015_100","2015=100",97.36687,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units","2015_100","2015=100",97.34016,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units","2015_100","2015=100",97.4203,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units","2015_100","2015=100",97.63399,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units","2015_100","2015=100",97.76888,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units","2015_100","2015=100",97.85432,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units","2015_100","2015=100",98.08942,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units","2015_100","2015=100",98.3037,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-05","May-2017","IDX","Index","0","Units","2015_100","2015=100",98.60283,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units","2015_100","2015=100",98.68354,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-07","Jul-2017","IDX","Index","0","Units","2015_100","2015=100",98.68354,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-08","Aug-2017","IDX","Index","0","Units","2015_100","2015=100",98.65683,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-09","Sep-2017","IDX","Index","0","Units","2015_100","2015=100",98.71025,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-10","Oct-2017","IDX","Index","0","Units","2015_100","2015=100",98.76368,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-11","Nov-2017","IDX","Index","0","Units","2015_100","2015=100",98.76368,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2017-12","Dec-2017","IDX","Index","0","Units","2015_100","2015=100",98.71556,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-01","Jan-2018","IDX","Index","0","Units","2015_100","2015=100",98.74227,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-02","Feb-2018","IDX","Index","0","Units","2015_100","2015=100",98.84912,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-03","Mar-2018","IDX","Index","0","Units","2015_100","2015=100",98.92926,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units","2015_100","2015=100",99.04378,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-05","May-2018","IDX","Index","0","Units","2015_100","2015=100",99.28419,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units","2015_100","2015=100",99.44446,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units","2015_100","2015=100",99.39104,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units","2015_100","2015=100",99.44446,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units","2015_100","2015=100",99.57802,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units","2015_100","2015=100",99.79172,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units","2015_100","2015=100",99.95199,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units","2015_100","2015=100",99.9787,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units","2015_100","2015=100",100.0715,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units","2015_100","2015=100",100.2062,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units","2015_100","2015=100",100.2602,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units","2015_100","2015=100",100.2561,,
