Country,Subject,Year,CPI
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2015,97.88333
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2016,97.50833
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2017,97.125
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2018,96.09167
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2019,97.89167
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2020,99.975
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2021,101.725
Japan,"CPI: 05 - Furnishings, household equipment and routine household maintenance",2022,105.5583
Japan,CPI: 08 - Communication,2015,106.475
Japan,CPI: 08 - Communication,2016,105.8917
Japan,CPI: 08 - Communication,2017,102.7917
Japan,CPI: 08 - Communication,2018,101.35
Japan,CPI: 08 - Communication,2019,99.45
Japan,CPI: 08 - Communication,2020,100.0083
Japan,CPI: 08 - Communication,2021,85.39167
Japan,CPI: 08 - Communication,2022,79.09167
Japan,CPI: 11 - Restaurants and hotels,2015,97.25
Japan,CPI: 11 - Restaurants and hotels,2016,98.29166
Japan,CPI: 11 - Restaurants and hotels,2017,98.75833
Japan,CPI: 11 - Restaurants and hotels,2018,99.79166
Japan,CPI: 11 - Restaurants and hotels,2019,101.3833
Japan,CPI: 11 - Restaurants and hotels,2020,100.0083
Japan,CPI: 11 - Restaurants and hotels,2021,102.6333
Japan,CPI: 11 - Restaurants and hotels,2022,105.075
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2015,93.65833
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2016,93.70834
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2017,96.10833
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2018,97.11667
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2019,98.45834
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2020,100.0167
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2021,101.875
Japan,"CPI: 02 - Alcoholic beverages, tobacco and narcotics",2022,104.05
Japan,CPI: 10 - Education,2015,106.4417
Japan,CPI: 10 - Education,2016,108.075
Japan,CPI: 10 - Education,2017,108.775
Japan,CPI: 10 - Education,2018,109.2917
Japan,CPI: 10 - Education,2019,107.85
Japan,CPI: 10 - Education,2020,100.0167
Japan,CPI: 10 - Education,2021,100.025
Japan,CPI: 10 - Education,2022,100.775
Japan,CPI: 12 - Miscellaneous goods and services,2015,104.5917
Japan,CPI: 12 - Miscellaneous goods and services,2016,104.9083
Japan,CPI: 12 - Miscellaneous goods and services,2017,104.7333
Japan,CPI: 12 - Miscellaneous goods and services,2018,104.8833
Japan,CPI: 12 - Miscellaneous goods and services,2019,103.9083
Japan,CPI: 12 - Miscellaneous goods and services,2020,100.0
Japan,CPI: 12 - Miscellaneous goods and services,2021,100.1167
Japan,CPI: 12 - Miscellaneous goods and services,2022,101.2667
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,100.2917
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,98.20834
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,98.71667
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,99.625
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,100.3833
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2020,100.0167
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2021,100.425
Japan,"CPI: 04 - Housing, water, electricity, gas and other fuels",2022,104.5583
Japan,CPI: 03 - Clothing and footwear,2015,96.4
Japan,CPI: 03 - Clothing and footwear,2016,98.125
Japan,CPI: 03 - Clothing and footwear,2017,98.33334
Japan,CPI: 03 - Clothing and footwear,2018,98.5
Japan,CPI: 03 - Clothing and footwear,2019,98.90833
Japan,CPI: 03 - Clothing and footwear,2020,100.0083
Japan,CPI: 03 - Clothing and footwear,2021,100.45
Japan,CPI: 03 - Clothing and footwear,2022,102.0167
Japan,CPI: 07 - Transport,2015,97.51667
Japan,CPI: 07 - Transport,2016,94.725
Japan,CPI: 07 - Transport,2017,97.14167
Japan,CPI: 07 - Transport,2018,100.5
Japan,CPI: 07 - Transport,2019,100.3167
Japan,CPI: 07 - Transport,2020,100.0083
Japan,CPI: 07 - Transport,2021,103.2
Japan,CPI: 07 - Transport,2022,106.625
Japan,CPI: 06 - Health,2015,95.34167
Japan,CPI: 06 - Health,2016,96.28333
Japan,CPI: 06 - Health,2017,97.325
Japan,CPI: 06 - Health,2018,98.9
Japan,CPI: 06 - Health,2019,99.625
Japan,CPI: 06 - Health,2020,100.0
Japan,CPI: 06 - Health,2021,99.5
Japan,CPI: 06 - Health,2022,99.03333
Japan,CPI: 09 - Recreation and culture,2015,94.25833
Japan,CPI: 09 - Recreation and culture,2016,95.25833
Japan,CPI: 09 - Recreation and culture,2017,95.75
Japan,CPI: 09 - Recreation and culture,2018,96.61667
Japan,CPI: 09 - Recreation and culture,2019,98.45
Japan,CPI: 09 - Recreation and culture,2020,100.0083
Japan,CPI: 09 - Recreation and culture,2021,100.825
Japan,CPI: 09 - Recreation and culture,2022,102.3333
Japan,CPI: 01-12 - All items,2015,100.0
Japan,CPI: 01-12 - All items,2016,99.87274
Japan,CPI: 01-12 - All items,2017,100.3563
Japan,CPI: 01-12 - All items,2018,101.3489
Japan,CPI: 01-12 - All items,2019,101.824
Japan,CPI: 01-12 - All items,2020,101.7986
Japan,CPI: 01-12 - All items,2021,101.561
Japan,CPI: 01-12 - All items,2022,104.0977
Japan,CPI: 01 - Food and non-Alcoholic beverages,2015,100.0
Japan,CPI: 01 - Food and non-Alcoholic beverages,2016,102.01
Japan,CPI: 01 - Food and non-Alcoholic beverages,2017,102.6712
Japan,CPI: 01 - Food and non-Alcoholic beverages,2018,104.3198
Japan,CPI: 01 - Food and non-Alcoholic beverages,2019,104.5579
Japan,CPI: 01 - Food and non-Alcoholic beverages,2020,105.8098
Japan,CPI: 01 - Food and non-Alcoholic beverages,2021,105.7569
Japan,CPI: 01 - Food and non-Alcoholic beverages,2022,110.9407
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2015,100.0
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2016,102.8473
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2017,106.4029
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2018,109.7682
United States,"CPI: 04 - Housing, water, electricity, gas and other fuels",2019,113.1062
