"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,0.4381978,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,0.01331864,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,0.08806594,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.05193623,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,-0.5552915,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,-0.1518781,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,0.1975739,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,0.2353411,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,-0.1287369,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,1.310293,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.1061499,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,0.3203585,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,0.4362808,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,0.1394083,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,0.06266094,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2022-12","Dec-2022","PC","Percentage","0","Units",,,-0.05833041,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-01","Jan-2023","PC","Percentage","0","Units",,,1.100371,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-02","Feb-2023","PC","Percentage","0","Units",,,1.183523,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-03","Mar-2023","PC","Percentage","0","Units",,,0.2452202,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-04","Apr-2023","PC","Percentage","0","Units",,,0.07850745,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-05","May-2023","PC","Percentage","0","Units",,,0.2205249,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-06","Jun-2023","PC","Percentage","0","Units",,,0,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-07","Jul-2023","PC","Percentage","0","Units",,,0.001421853,,
"CRI","Costa Rica","CP181000","CPI (COICOP 18): 10 - Education services","GP","Percentage change from previous period","M","Monthly","2023-08","Aug-2023","PC","Percentage","0","Units",,,0.1190519,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.2139465,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.7021074,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.01422683,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.3090301,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,-0.2310853,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.5131711,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,-0.2165543,,
"CRI","Costa Rica","CP181300","CPI (COICOP 18): 13 - Personal care, social protection and miscellaneous goods and services","GP","Percentage change from previous period","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,0.3034355,,
