Country,Time,Value
China,2015,100.0
China,2016,102.0
China,2017,103.625
China,2018,105.775
China,2019,108.8417
China,2020,111.475
China,2021,112.5686
China,2022,114.7902
Netherlands,2015,100.0
Netherlands,2016,100.3167
Netherlands,2017,101.7025
Netherlands,2018,103.435
Netherlands,2019,106.1592
Netherlands,2020,107.51
Netherlands,2021,110.3867
Netherlands,2022,121.4267
Greece,2015,100.0
Greece,2016,99.17434
Greece,2017,100.2863
Greece,2018,100.9138
Greece,2019,101.1691
Greece,2020,99.9065
Greece,2021,101.1292
Greece,2022,110.8834
United Kingdom,2015,100.0
United Kingdom,2016,101.0
United Kingdom,2017,103.6
United Kingdom,2018,106.0
United Kingdom,2019,107.8
United Kingdom,2020,108.9
United Kingdom,2021,111.6
United Kingdom,2022,120.5
Belgium,2015,100.0
Belgium,2016,101.9739
Belgium,2017,104.1418
Belgium,2018,106.28
Belgium,2019,107.807
Belgium,2020,108.6057
Belgium,2021,111.2559
Belgium,2022,121.9337
Sweden,2015,100.0
Sweden,2016,100.9843
Sweden,2017,102.7964
Sweden,2018,104.8046
Sweden,2019,106.6745
Sweden,2020,107.205
Sweden,2021,109.5241
Sweden,2022,118.6905
India,2015,100.0
India,2016,104.941
India,2017,107.555
India,2018,112.7829
India,2019,121.4217
India,2020,128.1744
India,2021,134.4423
India,2022,142.3749
Ireland,2015,100.0
Ireland,2016,100.0083
Ireland,2017,100.3489
Ireland,2018,100.8389
Ireland,2019,101.7859
Ireland,2020,101.4453
Ireland,2021,103.8375
Ireland,2022,111.9445
Korea,2015,100.0
Korea,2016,100.9717
Korea,2017,102.9349
Korea,2018,104.4541
Korea,2019,104.8541
Korea,2020,105.4175
Korea,2021,108.0512
Korea,2022,113.5487
Norway,2015,100.0
Norway,2016,103.55
Norway,2017,105.4917
Norway,2018,108.4083
Norway,2019,110.7583
Norway,2020,112.1833
Norway,2021,116.0917
Norway,2022,122.7833
Costa Rica,2015,100.0
Costa Rica,2016,99.98252
Costa Rica,2017,101.6081
Costa Rica,2018,103.865
Costa Rica,2019,106.042
Costa Rica,2020,106.8107
Costa Rica,2021,108.6548
Brazil,2015,100.0
Brazil,2016,108.7391
Brazil,2017,112.4867
Brazil,2018,116.6092
Brazil,2019,120.9622
Brazil,2020,124.8472
Brazil,2021,135.2116
Brazil,2022,147.7594
Slovak Republic,2015,100.0
Slovak Republic,2016,99.47999
Slovak Republic,2017,100.7851
