"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.625,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.775,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",108.8417,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.475,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",112.5686,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",114.7902,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.3167,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",101.7025,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.435,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.1592,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.51,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",110.3867,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",121.4267,,
"GRC","Greece","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
