Country,Time,Value
Ireland,2001,16423.708421383
Ireland,2002,16486.9084633115
Ireland,2003,16665.7099480578
Ireland,2004,17847.8365973443
Ireland,2005,18627.8925263916
Ireland,2006,18453.9170911059
Ireland,2007,19501.1146522204
Ireland,2008,19115.893249109
Ireland,2009,20012.053704772
Ireland,2010,20198.3013995107
Ireland,2011,19694.6714604508
Ireland,2012,19366.1805679405
Ireland,2013,19268.1605700444
Ireland,2014,19233.0521111625
Ireland,2015,19288.9667904456
Ireland,2016,20402.2412900168
Ireland,2017,20555.2195944151
Ireland,2018,21118.7377500087
Ireland,2019,21469.9717036005
Ireland,2020,22201.4985360599
Ireland,2021,21904.7695711722
Ireland,2022,20916.0341896713
Luxembourg,2001,24263.8386274248
Luxembourg,2002,24215.6058882677
Luxembourg,2003,25121.6662451879
Luxembourg,2004,25085.1157695812
Luxembourg,2005,25589.4854409899
Luxembourg,2006,25441.9920968261
Luxembourg,2007,25918.8460029666
Luxembourg,2008,25588.2444030029
Luxembourg,2009,26654.3946859608
Luxembourg,2010,26495.1015209822
Luxembourg,2011,26595.054833982
Luxembourg,2012,26552.7082723261
Luxembourg,2013,26455.5874253357
Luxembourg,2014,27486.4578677575
Luxembourg,2015,27384.0686767031
Luxembourg,2016,27304.6576307604
Luxembourg,2017,27895.730389293
Luxembourg,2018,27761.9680572166
Luxembourg,2019,28236.8200568989
Luxembourg,2020,28707.4362885731
Luxembourg,2021,28962.8607245064
Luxembourg,2022,28148.8432319027
Portugal,2001,10753.565368674
Portugal,2002,10809.0096622786
Portugal,2003,10730.3580699616
Portugal,2004,10732.3582595563
Portugal,2005,10769.3215608872
Portugal,2006,10751.2786905209
Portugal,2007,10964.606530079
Portugal,2008,11297.8503478368
Portugal,2009,12034.9041966044
Portugal,2010,12527.8738341815
Portugal,2011,12340.6605613859
Portugal,2012,12007.6478361369
Portugal,2013,11974.7870247432
Portugal,2014,12008.1882046061
Portugal,2015,12442.802383472
Portugal,2016,12979.7994973227
Portugal,2017,13456.8655688777
Portugal,2018,13874.7999056067
Portugal,2019,14304.7948486091
Portugal,2020,15141.1245178046
Portugal,2021,15658.2731748064
Portugal,2022,15394.3335750883
United States,2001,17704.7409676204
United States,2002,17428.3222645355
United States,2003,17041.464828086
United States,2004,16597.1206247242
United States,2005,16052.4999394068
United States,2006,15550.838579637
United States,2007,16020.0375666821
United States,2008,17406.8525113889
United States,2009,19455.1262556109
United States,2010,20239.0498902037
United States,2011,19619.6874414193
United States,2012,19221.9210657076
United States,2013,18944.4170582206
United States,2014,18642.0022148424
United States,2015,18619.913944288
United States,2016,18387.93484639
United States,2017,18004.4208762049
United States,2018,17575.1335985148
United States,2019,17262.3043793305
United States,2020,17051.9541338698
United States,2021,16286.8222129345
United States,2022,15080.0
Estonia,2001,3933.33880364561
Estonia,2002,4391.14716844421
Estonia,2003,5059.30135342657
Estonia,2004,5636.93943729793
Estonia,2005,5874.54741736626
Estonia,2006,6273.08417898144
Estonia,2007,7061.66815027633
Estonia,2008,7731.85149537565
Estonia,2009,7737.91866673054
Estonia,2010,7514.5819020116
Estonia,2011,7157.97847811612
Estonia,2012,7183.84929490725
Estonia,2013,7712.55343451701
Estonia,2014,8565.20808865533
Estonia,2015,9456.22065769083
Estonia,2016,10410.610436584
Estonia,2017,11003.0395416719
Estonia,2018,11316.4896387404
Estonia,2019,11949.6835288718
Estonia,2020,12981.0663226538
Estonia,2021,12403.8925215643
Estonia,2022,11633.8882951047
Canada,2001,16582.196645387
Canada,2002,16407.880991918
Canada,2003,16177.5073949885
Canada,2004,16203.3869101084
Canada,2005,16345.771972653
Canada,2006,16706.3934305809
Canada,2007,16873.1509896206
Canada,2008,17554.6734033232
Canada,2009,18592.2210433835
Canada,2010,19256.1813736448
Canada,2011,19311.6455587852
Canada,2012,19673.8515160161
Canada,2013,19803.4498002074
Canada,2014,19931.2148649629
Canada,2015,20240.0748027761
Canada,2016,20552.8679289046
Canada,2017,20910.2787458082
Canada,2018,23107.9683539999
Canada,2019,23495.1782946016
Canada,2020,23923.3745602545
Canada,2021,23679.8290612602
Canada,2022,23138.9709184541
France,2001,20898.9796248578
France,2002,21162.9961104074
France,2003,21526.3695817042
France,2004,22247.4288917317
France,2005,23106.7115540086
France,2006,23685.0516015015
France,2007,23924.87437964
France,2008,23971.2944137567
France,2009,24390.9021537292
France,2010,24228.6387945781
France,2011,24199.5394566863
France,2012,24510.1936724081
France,2013,24613.5229777517
France,2014,24748.7566124594
France,2015,24947.2669451388
France,2016,25057.0863847094
France,2017,25031.8956115913
France,2018,24879.1962108451
France,2019,24980.0730713022
France,2020,25159.0540963018
France,2021,25137.0
France,2022,25142.5
Mexico,2001,2060.97339147584
Mexico,2002,2075.59520165734
Mexico,2003,2074.749053633
Mexico,2004,2066.15480559829
Mexico,2005,2076.12629427288
Mexico,2006,2083.52133553208
Mexico,2007,2081.97081458056
Mexico,2008,2059.88534900101
Mexico,2009,2046.68037947419
